incorrect_sentence,correct_sentence
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නෙමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්න
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නෙමුවා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්න
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නේය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නෝය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙන්නෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපල්ලා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙමිවා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙමුවා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙයි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දීපන්
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවති,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙව
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නීය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙව
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙව
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙව
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නේය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෝය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවයි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවහු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහුවා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙනලදී,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙහිවා
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නේය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නාය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෝය,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවේ,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙමු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙහි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙහු,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙයි,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දෙවෙති,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙති,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙත්වා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවා,මම නැටුම් නටද්දී නුබ ඔහුට පොතක් දුන්නෙහි
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්න,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නීය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙමිවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙමුවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙහි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෙහිවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නේය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙන්නෝය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපන්,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනවාලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙමිවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙමුවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙයි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙව,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවති,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නීය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දීපල්ලා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නේය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෝය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවයි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවහි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහිවා,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙනලදී,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහුවා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහුවා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහුවා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙහුවා
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නේය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නාය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෝය,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවේ,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙමු,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දුන්නෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙයි,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙහු
මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙති,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙහු
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙති,මම නැටුම් නටද්දී නුබලා ඔහුට පොතක් දෙවෙහු
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙනවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙත්වා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙනවාලා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙත්වා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙනු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙත්වා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්න,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙත්වා
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙමිවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙමුවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෙහිවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නෝය,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දීපන්,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දීපල්ලා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙමිවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙමුවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙව,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවති,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නෙමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නෙහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නෙහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නීය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නෝය,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවන්නේය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙහිවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙහුවා,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙනලදී,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෙමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෙහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෙහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවයි
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නෝය,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දුන්නාය
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවේ
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවෙමු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවේ
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවෙහි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවේ
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවෙහු,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවේ
මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවෙයි,මම නැටුම් නටද්දී ළමයා ඔහුට පොතක් දෙවේ
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙත්වා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙනවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙනවාලා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙනු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්න,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නීය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙමිවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙමුවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෙහිවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නේය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දීපන්,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දීපල්ලා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙමිවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙමුවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙයි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙව,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නීය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෙමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෙමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෙහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෙහු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නේය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවති
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවයි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවහු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙහිවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙහු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙහුවා,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙනලදී,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෙමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෙමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෙහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෙහු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නේය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නාය,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවේ,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙමි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙමු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙහි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙහු,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙයි,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දුන්නෝය
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙති,මම නැටුම් නටද්දී ළමයි ඔහුට පොතක් දෙවෙති
මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙනවා,මම නැටුම් නටද්දී වාහනය ඔහුට පොතක් දෙත්වා
